"age_n","isotope","id","segment_percentile","fit"
0,"d13C","20",0.895892760884653,-17.9998164552049
0,"d13C","22",0.231145015938879,-17.2439572006279
0,"d13C","22",0.564976789562904,-19.16173930933
0,"d13C","22",0.909380145875558,-17.7457515024757
0,"d13C","24",0.249668987942515,-17.0679256841279
0,"d13C","24",0.568721318898956,-18.5644828126833
0,"d13C","24",0.663052426355692,-18.2623481571129
0,"d13C","24",0.702529953757949,-18.2831845669415
0,"d13C","24",0.869097060068572,-17.9475011379506
0,"d13C","24",0.898629557064292,-17.9633653216881
0,"d13C","24",0.9323419393228,-17.9588556568293
0,"d13C","26",0.250028773695616,-17.0486366086427
0,"d13C","26",0.466322849914716,-18.1579226667996
0,"d13C","26",0.58746757003838,-17.8234622283151
0,"d13C","26",0.606217700429073,-17.8272322482478
0,"d13C","26",0.773641422799595,-17.640091518489
0,"d13C","26",0.876252687687974,-17.6895964298691
0,"d13C","26",0.933583440382222,-17.5996996561624
0,"d13C","27",0.315629952010129,-17.0448860296802
0,"d13C","27",0.587620617476377,-18.0148281545233
0,"d13C","27",0.66289558844513,-17.6792892190264
0,"d13C","27",0.764417479058651,-18.1476071236053
0,"d13C","27",0.82968509371268,-17.9863863931469
0,"d13C","27",0.969967564933379,-18.2618978950932
0,"d13C","27",0.984567625238571,-18.2594126429564
0,"d13C","31",0.314933030556893,-16.6249794226334
0,"d13C","31",0.399629189347591,-16.7995276063625
0,"d13C","31",0.462594537063186,-16.4642263820138
0,"d13C","31",0.584786442175553,-18.0336140192402
0,"d13C","31",0.670247789862244,-17.6503340860706
0,"d13C","31",0.737370285008566,-17.8344163202074
0,"d13C","31",0.831875357119951,-17.7742500849379
0,"d13C","31",0.853371091004853,-17.778878995197
0,"d13C","31",0.924218122919765,-17.5544892048557
0,"d13C","31",0.965930137462272,-17.6460693746225
0,"d13C","32",0.281993055208179,-16.8409461972529
0,"d13C","32",0.3278,-16.878967639834
0,"d13C","32",0.393291202498834,-16.7445859233975
0,"d13C","32",0.49308726544683,-18.1789088263352
0,"d13C","32",0.552007278872676,-18.0395176121242
0,"d13C","32",0.678220879625465,-18.4534408768417
0,"d13C","32",0.802088661063105,-18.0872082198381
0,"d13C","32",0.848918565552718,-18.1459900792196
0,"d13C","32",0.960157080878278,-17.8207233302308
0,"d13C","33",0.174543063538576,-18.0153122705339
0,"d13C","33",0.21716326743305,-18.000747647756
0,"d13C","33",0.249840846988035,-18.0068900949953
0,"d13C","33",0.264942182221014,-18.0055276697865
0,"d13C","33",0.462822005766209,-18.9584470337283
0,"d13C","33",0.537028591331355,-18.3769048293854
0,"d13C","33",0.588602679888433,-18.514220352984
0,"d13C","33",0.869569178568688,-17.8796381310874
0,"d13C","34",0.412448699675264,-16.4925899772478
0,"d13C","34",0.586573273180048,-18.0931795255254
0,"d13C","34",0.63783219920114,-17.9057583161687
0,"d13C","34",0.749751554422582,-18.3040672383902
0,"d13C","34",0.802121379924669,-18.2851791998733
0,"d13C","34",0.895283521893529,-18.426068071339
0,"d13C","34",0.984646668844393,-18.3717331491422
2,"d13C","T5",0.185855953113304,-18.8368178419145
2,"d13C","T5",0.338030701823036,-17.160130121635
2,"d13C","T5",0.341320929200266,-17.1602687305348
2,"d13C","T5",0.370875943537271,-17.0818321575396
2,"d13C","T5",0.509077948956348,-18.1808506439711
2,"d13C","T5",0.515084207347951,-18.1789640005041
2,"d13C","T5",0.559893964797183,-18.7142972748517
2,"d13C","T5",0.609673234693829,-18.1663787062315
2,"d13C","T5",0.65880912053603,-18.7662219882109
2,"d13C","T5",0.781820063301899,-18.0745014916414
2,"d13C","T5",0.819578404406286,-18.1695480316709
2,"d13C","T5",0.86865768934226,-17.6209375341141
2,"d13C","T5",0.899960585597535,-17.9980086773794
2,"d13C","T5",0.966486083817099,-17.506716837116
2,"d13C","T3",0.219970973514357,-17.7899452043864
2,"d13C","T3",0.3258426676973,-17.2824021431688
